ID,InventoryType,ItemAppearance,DisplayId
17,4,45701,5661
25,21,45702,1542
35,17,45703,472
36,21,45704,5194
37,21,45705,8483
38,4,45706,6048
39,7,45707,6050
40,8,45708,6051
41,6,0,0
43,8,45709,6060
45,4,45711,3265
46,6,0,0
47,8,45712,9767
50,6,0,0
51,8,45715,7081
55,8,45718,6077
56,20,85352,12647
57,20,85353,12645
58,6,0,0
60,5,45722,15441
61,7,45723,5654
77,5,0,0
79,7,45724,7643
80,8,45725,7180
85,5,45726,10888
86,6,0,0
87,8,0,0
88,7,0,0
89,4,0,0
92,8,0,0
97,20,0,0
117,0,0,0
118,0,0,0
131,6,0,0
132,8,0,0
138,4,0,0
141,6,0,0
143,14,45734,2080
153,7,45737,8740
154,4,45738,8738
159,0,0,0
182,0,0,0
184,18,0,0
192,21,45739,5279
193,5,45740,7777
194,7,45741,9970
195,8,45742,10052
200,5,45743,2499
201,7,45744,2308
202,8,45745,10287
203,10,45746,3218
209,7,45747,7947
210,8,45748,10872
236,5,45749,10150
237,7,45750,4265
238,8,45751,14283
239,10,45752,9785
285,5,45753,6558
286,7,45754,3409
287,8,45755,4734
414,0,0,0
422,0,0,0
527,0,0,0
537,0,0,0
555,0,0,0
556,0,0,0
647,17,45756,20190
710,9,45757,8147
711,10,45758,10890
714,10,45759,12774
718,10,45760,2951
719,10,45761,11393
720,10,45762,2368
723,0,0,0
724,0,0,0
725,0,0,0
727,13,45763,26577
728,0,0,0
729,0,0,0
730,0,0,0
731,0,0,0
732,0,0,0
733,0,0,0
734,0,0,0
737,0,0,0
738,0,0,0
739,0,0,0
741,0,0,0
742,0,0,0
743,0,0,0
744,12,0,0
745,0,0,0
746,5,45764,3865
750,0,0,0
751,21,0,0
752,0,0,0
753,13,45765,20094
754,13,45766,20218
755,0,0,0
756,17,45767,1379
761,0,0,0
763,9,45768,17007
765,0,0,0
766,21,45769,19621
767,17,45770,20443
768,21,45771,1383
769,0,0,0
770,0,0,0
771,0,0,0
772,0,0,0
773,0,0,0
774,0,0,0
776,13,45772,2743
777,0,0,0
778,21,45773,1682
779,0,0,0
780,0,0,0
781,21,45774,19644
782,0,0,0
783,0,0,0
784,0,0,0
785,0,0,0
787,0,0,0
788,21,45775,4801
789,13,45776,19699
790,13,45777,19401
791,17,45778,20334
792,8,45779,10295
793,10,45780,2186
794,7,45781,2185
795,5,45782,3900
796,8,45783,2094
797,10,45784,2359
798,7,45785,2176
799,5,45786,2106
804,18,0,0
805,18,0,0
806,18,0,0
807,0,0,0
808,0,0,0
809,13,45787,20033
810,13,45788,19726
811,13,45789,19137
812,17,45790,15990
813,0,0,0
814,0,0,0
816,13,45791,2710
818,0,0,0
820,13,45792,6470
821,5,85354,17102
823,0,0,0
826,13,45794,19271
827,13,45795,2038
828,18,0,0
829,0,0,0
832,6,45796,3394
833,12,0,0
835,0,0,0
836,0,0,0
837,5,45797,5730
838,7,45798,5731
839,10,85355,14467
840,8,45800,10908
841,0,0,0
842,0,0,0
843,8,45801,3713
844,10,45802,2101
845,7,45803,5441
846,5,45804,14271
847,5,45805,1019
848,7,45806,697
849,8,45807,1020
850,10,45808,510
851,13,45809,2780
852,13,45810,5208
853,13,45811,22102
854,17,45812,2943
855,18,0,0
856,18,0,0
857,18,0,0
858,0,0,0
859,4,45813,9880
860,8,45814,3443
862,11,0,0
863,13,45815,19213
864,13,45816,26579
865,13,45817,5212
866,17,45818,20357
867,10,45819,3993
868,13,45820,19713
869,13,45821,5163
870,17,45822,33458
871,13,45823,19235
872,17,45824,19242
873,17,45825,20298
875,0,0,0
876,14,45826,1680
877,0,0,0
878,0,0,0
880,17,45827,20382
883,0,0,0
884,0,0,0
885,13,45828,8494
886,13,45829,20093
887,0,0,0
888,10,45830,3524
889,0,0,0
890,17,45831,20386
892,10,45832,7816
894,0,0,0
895,0,0,0
896,0,0,0
897,9,45833,6165
899,13,45834,6456
906,3,45836,1058
907,3,45837,2953
908,3,45838,1060
910,0,0,0
911,17,45840,28628
913,17,45841,20170
914,5,45842,1727
916,0,0,0
917,5,0,0
918,18,0,0
920,13,45843,19703
922,17,45844,22097
923,21,45845,20110
924,17,45846,22131
925,21,45847,2861
926,17,45848,22108
927,13,45777,19401
928,17,45849,22151
929,0,0,0
930,18,0,0
931,18,0,0
932,18,0,0
933,18,0,0
934,13,45850,19405
935,13,45851,8272
936,13,45852,5215
937,17,45853,20329
938,0,0,0
940,20,45854,16676
941,12,0,0
942,11,0,0
943,17,45855,20256
944,17,45856,20253
945,21,45857,859
948,21,45857,859
951,0,0,0
954,0,0,0
955,0,0,0
956,0,0,0
957,0,0,0
961,0,0,0
962,0,0,0
964,4,0,0
965,18,0,0
966,0,0,0
967,0,0,0
968,0,0,0
973,0,0,0
974,0,0,0
976,0,0,0
980,0,0,0
981,0,0,0
983,6,45858,4878
994,0,0,0
996,11,0,0
997,21,0,0
1006,0,0,0
1008,21,45859,1550
1009,13,45860,8583
1010,17,47521,18630
1011,13,85356,68756
1013,0,0,0
1014,0,0,0
1016,0,0,0
1017,0,0,0
1018,22,45863,1121
1019,0,0,0
1020,1,0,0
1021,1,0,0
1022,1,0,0
1026,1,0,0
1028,1,0,0
1029,0,0,0
1030,0,0,0
1031,0,0,0
1032,0,0,0
1033,0,0,0
1034,0,0,0
1036,0,0,0
1043,0,0,0
1046,26,0,0
1049,0,0,0
1052,0,0,0
1061,0,0,0
1072,0,0,0
1074,0,0,0
1075,0,0,0
1076,11,0,0
1077,11,0,0
1080,0,0,0
1082,0,0,0
1083,0,0,0
1084,0,0,0
1085,0,0,0
1086,0,0,0
1087,0,0,0
1088,0,0,0
1090,0,0,0
