ID,InventoryType,ItemAppearance,DisplayId
92553,1,19967,673623
134017,1,9987,673611
134112,3,24531,0
134110,1,29124,680247
134111,16,2352,146518
135510,1,29463,682360
135522,5,29461,149994
135548,7,29464,149997
135549,10,29462,149998
135550,8,29460,149993
142503,4,33155,680248
142504,19,33156,0
143539,6,33252,0
158329,10,37207,0
168659,5,94139,685446
168664,8,40283,0
168665,9,40284,0
185976,1,48327,22881
185977,3,48329,9497
185998,5,48322,7173
185999,9,48321,9498
186001,10,48324,17474
186002,6,48325,7212
186015,7,48328,7174
186016,8,48326,21398
186018,1,55082,191784
186019,3,55085,191787
186020,5,55083,191785
186021,6,55086,191788
186022,7,55089,191791
186023,8,55087,191789
186024,9,55090,191792
186025,10,55081,191783
186026,1,55095,191807
186027,3,55096,191808
186028,5,55097,191809
186029,6,55098,191810
186030,7,55099,191811
186031,8,55100,191812
186032,9,55101,191813
186033,10,55102,191814
186034,1,47086,25825
186035,3,47668,25815
186036,5,47083,22005
186037,6,47036,4342
186038,7,55091,191794
186039,8,47085,22505
186040,9,47667,18335
186041,10,47084,23968
186044,16,55103,711641
186045,16,47267,26016
186046,16,55088,191790
186047,16,48086,191780
186075,16,47267,26016
186076,9,55101,191813
186078,1,55095,191807
186079,7,55099,191811
186080,3,55096,191808
186081,1,47086,25825
186082,7,55091,191794
186083,3,47668,25815
186084,9,47667,18335
186085,9,48321,9498
186086,1,48327,22881
186087,7,48328,7174
186088,3,48329,9497
17,4,45701,5661
25,21,45702,705309
35,17,45703,472
36,21,45704,705310
37,21,45705,705311
38,4,45706,6048
39,7,45707,6050
40,8,45708,6051
43,8,45709,6060
44,7,45710,1882
45,4,45711,3265
47,8,45712,9767
48,7,45713,5341
49,4,45714,9906
51,8,45715,7081
52,7,45716,5848
53,4,45717,8370
55,8,45718,6077
59,8,45721,3261
60,5,45722,15441
61,7,45723,5654
79,7,45724,7643
80,8,45725,7180
85,5,45726,10888
120,7,45728,10006
121,8,45729,10008
127,4,45730,9031
129,8,45731,5633
139,7,45732,8003
140,8,45733,9992
